,Player,Nation,Pos,Age,TotlMin,Games,sc_G,sc_A,sc_GA,CrdY,CrdR,xG,xAG,npxG+xAG,PrgC,PrgP,PrgR
89,Levi Colwill,eng ENG,DF,20.0,23,20,1.0,1.0,2.0,2.0,0.0,1.3,1.2,2.5,23.0,73.0,27.0
90,Marc Cucurella,es ESP,DF,25.0,21,20,0.0,2.0,2.0,10.0,0.0,1.1,1.1,2.2,31.0,50.0,73.0
91,Malo Gusto,fr FRA,DF,20.0,27,19,0.0,6.0,6.0,7.0,1.0,0.9,4.3,5.2,78.0,86.0,135.0
92,Mykhailo Mudryk,ua UKR,FW,22.0,31,18,5.0,2.0,7.0,5.0,0.0,4.4,4.1,8.5,92.0,45.0,139.0
93,Robert Sánchez,es ESP,GK,25.0,16,16,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
94,Benoît Badiashile,fr FRA,DF,22.0,18,15,0.0,1.0,1.0,3.0,0.0,0.3,1.5,1.8,3.0,46.0,3.0
95,Noni Madueke,eng ENG,FW,21.0,23,13,5.0,2.0,7.0,2.0,0.0,2.5,2.6,4.3,76.0,52.0,136.0
96,Trevoh Chalobah,eng ENG,DF,24.0,13,10,1.0,0.0,1.0,1.0,0.0,0.2,0.1,0.3,5.0,31.0,9.0
97,Ben Chilwell,eng ENG,DF,26.0,13,9,0.0,1.0,1.0,5.0,0.0,1.2,2.2,3.4,22.0,25.0,59.0
98,Armando Broja,al ALB,FW,21.0,13,6,1.0,0.0,1.0,0.0,0.0,2.4,0.2,2.5,11.0,6.0,37.0
99,Reece James,eng ENG,DF,23.0,10,5,0.0,2.0,2.0,2.0,2.0,0.3,1.7,2.1,19.0,21.0,35.0
100,Lesley Ugochukwu,fr FRA,MF,19.0,12,3,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.1,8.0,17.0,3.0
101,Christopher Nkunku,fr FRA,"FW,MF",25.0,11,2,3.0,0.0,3.0,0.0,0.0,2.3,0.2,2.5,10.0,19.0,35.0
102,Carney Chukwuemeka,eng ENG,"MF,FW",19.0,9,2,1.0,1.0,2.0,2.0,0.0,0.2,0.3,0.5,4.0,12.0,19.0
103,Alfie Gilchrist,eng ENG,DF,19.0,11,2,1.0,0.0,1.0,1.0,0.0,0.3,0.0,0.3,1.0,7.0,4.0
