,Player,Nation,Pos,Age,TotlMin,Games,sc_G,sc_A,sc_GA,CrdY,CrdR,xG,xAG,npxG+xAG,PrgC,PrgP,PrgR
219,Nicolò Zaniolo,it ITA,"FW,MF",24.0,25,9,2.0,0.0,2.0,7.0,0.0,2.6,1.0,3.6,35.0,30.0,60.0
220,Jacob Ramsey,eng ENG,"FW,MF",22.0,16,8,1.0,1.0,2.0,2.0,0.0,2.2,1.0,3.2,33.0,28.0,69.0
221,Morgan Rogers,eng ENG,"MF,FW",21.0,11,8,3.0,1.0,4.0,3.0,0.0,1.4,0.6,2.0,22.0,28.0,30.0
222,Robin Olsen,se SWE,GK,33.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,Jhon Durán,co COL,"FW,MF",19.0,23,3,5.0,0.0,5.0,5.0,0.0,2.0,0.3,2.3,9.0,9.0,25.0
224,Tim Iroegbunam,eng ENG,MF,20.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
225,Calum Chambers,eng ENG,"MF,DF",28.0,5,1,0.0,1.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0,5.0,1.0
226,Leander Dendoncker,be BEL,MF,28.0,8,1,1.0,0.0,1.0,0.0,0.0,0.7,0.0,0.7,0.0,3.0,2.0
227,Tyrone Mings,eng ENG,DF,30.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,Omari Kellyman,eng ENG,FW,17.0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,1.0,0.0,0.0
229,Philippe Coutinho,br BRA,"MF,FW",31.0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,5.0,5.0,2.0
230,Bertrand Traoré,bf BFA,"DF,FW",27.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,Cameron Archer,eng ENG,MF,22.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
232,Kaine Kesler-Hayden,eng ENG,"MF,DF",20.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,Finley Munroe,eng ENG,MF,18.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Jaden Philogene Bidace,eng ENG,FW,21.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
235,Vladimír Coufal,cz CZE,DF,30.0,36,36,0.0,7.0,7.0,7.0,1.0,0.3,4.0,4.3,68.0,119.0,126.0
236,Emerson Palmieri,it ITA,DF,28.0,36,35,1.0,2.0,3.0,10.0,0.0,1.5,2.4,3.9,59.0,125.0,124.0
237,Jarrod Bowen,eng ENG,FW,26.0,34,34,16.0,6.0,22.0,2.0,0.0,11.6,5.5,17.2,90.0,52.0,186.0
238,James Ward-Prowse,eng ENG,MF,28.0,37,34,7.0,7.0,14.0,4.0,0.0,6.0,7.8,12.3,18.0,144.0,63.0
239,Tomáš Souček,cz CZE,MF,28.0,37,34,7.0,2.0,9.0,7.0,0.0,6.7,1.7,8.4,7.0,86.0,39.0
240,Kurt Zouma,fr FRA,DF,28.0,33,32,3.0,0.0,3.0,3.0,0.0,1.8,0.2,2.0,7.0,53.0,1.0
241,Alphonse Areola,fr FRA,GK,30.0,31,31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
242,Lucas Paquetá,br BRA,"FW,MF",25.0,31,31,4.0,6.0,10.0,10.0,0.0,5.4,5.4,9.2,34.0,187.0,116.0
243,Edson Álvarez,mx MEX,MF,25.0,31,28,1.0,1.0,2.0,11.0,0.0,1.3,0.6,1.9,20.0,91.0,26.0
244,Mohammed Kudus,gh GHA,"FW,MF",22.0,33,27,8.0,6.0,14.0,6.0,0.0,5.1,3.5,8.6,117.0,80.0,216.0
245,Nayef Aguerd,ma MAR,DF,27.0,21,21,1.0,0.0,1.0,3.0,1.0,1.5,0.3,1.8,10.0,68.0,3.0
246,Michail Antonio,jm JAM,FW,33.0,26,21,6.0,2.0,8.0,6.0,0.0,5.8,0.9,6.7,48.0,22.0,104.0
247,Konstantinos Mavropanos,gr GRE,DF,25.0,19,16,1.0,0.0,1.0,2.0,0.0,1.2,0.2,1.4,10.0,38.0,2.0
248,Łukasz Fabiański,pl POL,GK,38.0,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
249,Angelo Ogbonna,it ITA,DF,35.0,11,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
250,Saïd Benrahma,dz ALG,"FW,MF",27.0,13,5,0.0,1.0,1.0,1.0,0.0,1.8,1.4,2.5,28.0,28.0,70.0
251,Ben Johnson,eng ENG,"DF,FW",23.0,14,4,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,17.0,22.0,33.0
252,Aaron Cresswell,eng ENG,"DF,FW",33.0,11,4,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.4,4.0,26.0,6.0
253,Pablo Fornals,es ESP,"MF,FW",27.0,15,4,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,4.0,29.0,27.0
254,Danny Ings,eng ENG,FW,31.0,20,3,1.0,0.0,1.0,1.0,0.0,1.3,0.3,1.5,7.0,8.0,29.0
255,Kalvin Phillips,eng ENG,MF,27.0,8,3,0.0,0.0,0.0,3.0,1.0,0.1,0.0,0.1,3.0,19.0,4.0
256,Maxwel Cornet,ci CIV,"MF,FW",26.0,7,1,1.0,0.0,1.0,0.0,0.0,0.4,0.2,0.6,3.0,2.0,8.0
257,Divin Mubama,eng ENG,FW,18.0,5,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,5.0
258,George Earthy,eng ENG,FW,18.0,3,0,1.0,0.0,1.0,0.0,0.0,0.3,0.0,0.3,0.0,1.0,3.0
259,Thilo Kehrer,de GER,"DF,MF",26.0,4,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
260,Kaelan Casey,eng ENG,DF,18.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,Joachim Andersen,dk DEN,DF,27.0,38,38,2.0,3.0,5.0,7.0,0.0,1.7,2.8,4.5,21.0,147.0,10.0
262,Tyrick Mitchell,eng ENG,"DF,MF",23.0,37,37,2.0,3.0,5.0,6.0,0.0,1.6,2.8,4.4,32.0,94.0,159.0
263,Jordan Ayew,gh GHA,"FW,MF",31.0,35,30,4.0,7.0,11.0,9.0,1.0,3.9,4.2,8.1,74.0,63.0,173.0
264,Jefferson Lerma,co COL,"MF,DF",28.0,28,27,1.0,1.0,2.0,8.0,0.0,2.7,2.2,4.8,14.0,106.0,51.0
265,Jean-Philippe Mateta,fr FRA,FW,26.0,35,25,16.0,5.0,21.0,3.0,0.0,10.9,3.1,12.5,29.0,25.0,135.0
266,Eberechi Eze,eng ENG,"MF,FW",25.0,27,24,11.0,4.0,15.0,3.0,0.0,9.1,5.2,13.5,68.0,93.0,139.0
267,Chris Richards,us USA,"DF,MF",23.0,26,23,1.0,1.0,2.0,3.0,0.0,0.6,0.4,1.0,1.0,43.0,1.0
268,Marc Guéhi,eng ENG,DF,23.0,25,23,0.0,1.0,1.0,2.0,0.0,0.6,0.6,1.2,15.0,67.0,7.0
269,Joel Ward,eng ENG,DF,33.0,26,23,0.0,1.0,1.0,4.0,0.0,0.9,0.2,1.1,16.0,66.0,14.0
270,Will Hughes,eng ENG,MF,28.0,30,23,0.0,1.0,1.0,6.0,0.0,0.3,1.1,1.5,14.0,76.0,17.0
271,Sam Johnstone,eng ENG,GK,30.0,20,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,Dean Henderson,eng ENG,GK,26.0,18,18,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,Odsonne Édouard,fr FRA,"FW,MF",25.0,30,17,7.0,0.0,7.0,4.0,0.0,6.2,1.2,7.4,33.0,36.0,100.0
274,Jeffrey Schlupp,gh GHA,"FW,MF",30.0,29,17,2.0,2.0,4.0,1.0,0.0,1.8,2.3,4.1,20.0,33.0,52.0
275,Daniel Muñoz,co COL,"DF,MF",27.0,16,16,0.0,4.0,4.0,4.0,0.0,1.2,2.4,3.7,25.0,38.0,80.0
276,Adam Wharton,eng ENG,MF,19.0,16,15,0.0,3.0,3.0,2.0,0.0,0.3,2.4,2.8,14.0,79.0,10.0
277,Nathaniel Clyne,eng ENG,DF,32.0,19,14,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,10.0,33.0,18.0
278,Michael Olise,fr FRA,"FW,MF",21.0,19,14,10.0,6.0,16.0,0.0,0.0,5.5,5.8,10.5,68.0,78.0,134.0
279,Cheick Doucouré,ml MLI,MF,23.0,11,11,0.0,0.0,0.0,2.0,0.0,0.3,0.7,1.0,9.0,49.0,5.0
280,Jaïro Riedewald,nl NED,"MF,FW",26.0,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,3.0
281,Matheus França,br BRA,"MF,FW",19.0,10,1,0.0,1.0,1.0,1.0,0.0,0.4,0.9,1.2,12.0,8.0,12.0
282,Naouirou Ahamada,fr FRA,"MF,FW",21.0,20,0,0.0,0.0,0.0,4.0,1.0,0.5,0.0,0.5,19.0,25.0,20.0
283,David Ozoh,eng ENG,"MF,DF",18.0,9,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0
284,Jesurun Rak Sakyi,eng ENG,"MF,FW",20.0,6,0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.6,7.0,2.0,18.0
285,James Tomkins,eng ENG,DF,34.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
286,Remi Matthews,eng ENG,GK,29.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,Bernd Leno,de GER,GK,31.0,38,38,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,Antonee Robinson,us USA,DF,25.0,37,37,0.0,6.0,6.0,6.0,0.0,0.7,4.2,4.8,99.0,129.0,194.0
289,Andreas Pereira,br BRA,MF,27.0,37,34,3.0,7.0,10.0,6.0,0.0,4.6,7.1,11.7,56.0,138.0,125.0
290,João Palhinha,pt POR,MF,28.0,33,31,4.0,1.0,5.0,13.0,0.0,3.3,0.8,4.1,8.0,97.0,14.0
291,Timothy Castagne,be BEL,DF,27.0,34,29,1.0,3.0,4.0,3.0,0.0,1.6,1.9,3.5,48.0,77.0,113.0
292,Calvin Bassey,ng NGA,DF,23.0,29,25,1.0,0.0,1.0,6.0,1.0,0.3,0.0,0.4,15.0,62.0,4.0
293,Alex Iwobi,ng NGA,"FW,MF",27.0,30,25,5.0,2.0,7.0,2.0,0.0,5.3,4.7,10.0,109.0,147.0,175.0
294,Willian,br BRA,FW,34.0,31,24,4.0,2.0,6.0,1.0,0.0,5.1,3.9,7.5,92.0,153.0,181.0
295,Tosin Adarabioyo,eng ENG,DF,25.0,20,18,2.0,0.0,2.0,2.0,0.0,0.7,0.1,0.8,10.0,62.0,5.0
296,Rodrigo Muniz,br BRA,FW,22.0,26,18,9.0,1.0,10.0,1.0,0.0,8.7,2.0,10.7,8.0,19.0,76.0
297,Raúl Jiménez,mx MEX,FW,32.0,24,18,7.0,0.0,7.0,3.0,1.0,5.2,1.5,6.6,11.0,24.0,87.0
298,Tim Ream,us USA,DF,35.0,18,17,1.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,11.0,65.0,3.0
299,Bobby Reid,jm JAM,FW,30.0,33,17,6.0,2.0,8.0,4.0,0.0,4.6,1.8,6.4,35.0,47.0,95.0
300,Harry Wilson,wls WAL,FW,26.0,35,16,4.0,6.0,10.0,6.0,0.0,3.4,3.5,6.8,41.0,60.0,130.0
301,Issa Diop,fr FRA,DF,26.0,18,16,0.0,0.0,0.0,4.0,1.0,0.3,0.0,0.3,11.0,66.0,1.0
302,Harrison Reed,eng ENG,MF,28.0,27,15,0.0,2.0,2.0,6.0,0.0,0.3,1.1,1.4,10.0,56.0,40.0
303,Tom Cairney,sct SCO,MF,32.0,34,14,1.0,4.0,5.0,3.0,0.0,1.1,2.3,3.4,35.0,145.0,72.0
304,Saša Lukić,rs SRB,MF,26.0,24,13,1.0,0.0,1.0,3.0,0.0,1.6,0.8,2.4,12.0,43.0,27.0
305,Kenny Tete,nl NED,DF,27.0,14,10,1.0,0.0,1.0,2.0,0.0,0.9,0.4,1.2,20.0,54.0,38.0
306,Carlos Vinícius,br BRA,FW,28.0,13,2,2.0,0.0,2.0,2.0,0.0,1.6,0.8,2.4,3.0,3.0,13.0
307,Adama Traoré,es ESP,"FW,MF",27.0,17,1,2.0,3.0,5.0,2.0,0.0,1.5,0.7,2.2,29.0,16.0,48.0
308,Armando Broja,al ALB,FW,21.0,8,0,0.0,1.0,1.0,0.0,0.0,0.0,0.4,0.4,2.0,2.0,7.0
309,Luke Harris,wls WAL,MF,18.0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,1.0,0.0
310,Fodé Ballo-Touré,sn SEN,"DF,MF",26.0,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0
311,Aleksandar Mitrović,rs SRB,FW,28.0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,1.0,0.0
312,Jordan Pickford,eng ENG,GK,29.0,38,38,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.1,1.0,6.0,0.0
313,James Tarkowski,eng ENG,DF,30.0,38,38,1.0,1.0,2.0,11.0,0.0,2.6,2.5,5.1,15.0,130.0,20.0
314,Jarrad Branthwaite,eng ENG,DF,21.0,35,35,3.0,0.0,3.0,8.0,0.0,1.7,1.0,2.8,2.0,74.0,6.0
315,James Garner,eng ENG,MF,22.0,37,34,1.0,2.0,3.0,7.0,0.0,2.7,4.6,7.3,36.0,100.0,76.0
316,Dwight McNeil,eng ENG,"MF,FW",23.0,35,33,3.0,6.0,9.0,2.0,0.0,3.4,8.8,12.2,80.0,114.0,147.0
317,Abdoulaye Doucouré,ml MLI,"FW,MF",30.0,32,32,7.0,1.0,8.0,7.0,0.0,8.8,2.9,11.6,55.0,97.0,140.0
318,Vitaliy Mykolenko,ua UKR,DF,24.0,28,28,2.0,0.0,2.0,1.0,0.0,1.5,0.9,2.4,14.0,55.0,68.0
319,Ashley Young,eng ENG,"DF,MF",38.0,31,27,0.0,0.0,0.0,7.0,1.0,0.6,1.5,2.1,40.0,82.0,61.0
320,Dominic Calvert-Lewin,eng ENG,FW,26.0,32,26,7.0,2.0,9.0,2.0,0.0,12.9,3.1,14.5,36.0,31.0,122.0
321,Jack Harrison,eng ENG,"MF,FW",26.0,29,25,3.0,3.0,6.0,1.0,0.0,3.6,3.4,7.0,65.0,62.0,135.0
322,Idrissa Gana Gueye,sn SEN,MF,33.0,25,24,4.0,0.0,4.0,8.0,0.0,1.3,1.1,2.4,29.0,83.0,41.0
323,Amadou Onana,be BEL,MF,21.0,30,23,2.0,0.0,2.0,5.0,0.0,2.0,2.7,4.7,21.0,107.0,39.0
324,Ben Godfrey,eng ENG,DF,25.0,15,13,0.0,0.0,0.0,2.0,0.0,1.7,0.3,2.0,11.0,43.0,26.0
325,Nathan Patterson,sct SCO,DF,21.0,20,9,0.0,2.0,2.0,4.0,0.0,0.3,1.7,2.0,17.0,38.0,39.0
326,Beto,gw GNB,FW,25.0,30,9,3.0,0.0,3.0,2.0,0.0,6.8,0.9,6.9,14.0,14.0,58.0
327,Séamus Coleman,ie IRL,DF,34.0,12,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,22.0,16.0
328,Arnaut Danjuma,nl NED,"MF,FW",26.0,14,5,1.0,0.0,1.0,0.0,0.0,2.6,1.1,3.7,24.0,9.0,44.0
329,Michael Keane,eng ENG,DF,30.0,9,4,1.0,0.0,1.0,2.0,0.0,0.7,0.0,0.7,4.0,14.0,3.0
330,André Gomes,pt POR,"MF,FW",30.0,12,3,1.0,0.0,1.0,4.0,0.0,0.3,0.4,0.7,8.0,36.0,29.0
331,Alex Iwobi,ng NGA,MF,27.0,2,2,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,6.0,4.0,8.0
332,Lewis Dobbin,eng ENG,MF,20.0,12,1,1.0,0.0,1.0,1.0,0.0,0.3,0.5,0.8,6.0,3.0,20.0
333,Youssef Chermiti,pt POR,FW,19.0,18,1,0.0,0.0,0.0,3.0,0.0,0.7,0.8,1.5,5.0,5.0,15.0
334,Neal Maupay,fr FRA,FW,26.0,2,1,0.0,0.0,0.0,0.0,0.0,1.4,0.1,1.5,1.0,0.0,6.0
335,Thomas Cannon,ie IRL,FW,20.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,Tyler Onyango,eng ENG,MF,20.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,Lewis Warrington,eng ENG,FW,20.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,Pascal Groß,de GER,"MF,DF",32.0,36,34,4.0,10.0,14.0,6.0,0.0,6.5,8.1,13.8,83.0,302.0,180.0
339,Lewis Dunk,eng ENG,DF,31.0,33,33,3.0,1.0,4.0,7.0,1.0,3.1,0.9,4.0,33.0,152.0,13.0
340,Jan Paul van Hecke,nl NED,DF,23.0,28,26,0.0,0.0,0.0,4.0,0.0,1.2,0.9,2.1,25.0,147.0,7.0
341,Simon Adingra,ci CIV,FW,21.0,31,25,6.0,1.0,7.0,3.0,0.0,4.3,3.7,8.0,111.0,50.0,278.0
342,Billy Gilmour,sct SCO,MF,22.0,30,24,0.0,1.0,1.0,8.0,1.0,1.0,2.0,3.0,39.0,193.0,33.0
343,Bart Verbruggen,nl NED,GK,20.0,21,21,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
344,Danny Welbeck,eng ENG,"FW,MF",32.0,29,21,5.0,1.0,6.0,4.0,0.0,5.3,1.7,7.0,32.0,44.0,100.0
345,João Pedro,br BRA,"FW,MF",21.0,31,19,9.0,3.0,12.0,2.0,0.0,11.9,3.8,11.7,83.0,92.0,205.0
346,Igor,br BRA,DF,25.0,24,17,0.0,0.0,0.0,4.0,0.0,0.3,0.7,1.0,30.0,107.0,12.0
347,Joël Veltman,nl NED,DF,31.0,27,17,1.0,1.0,2.0,4.0,0.0,0.4,0.5,0.9,24.0,85.0,54.0
348,Jason Steele,eng ENG,GK,32.0,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,Facundo Buonanotte,ar ARG,"FW,MF",18.0,27,17,3.0,1.0,4.0,7.0,0.0,2.4,1.8,4.2,23.0,42.0,69.0
350,Kaoru Mitoma,jp JPN,FW,26.0,19,15,3.0,4.0,7.0,4.0,0.0,3.5,2.7,6.2,121.0,64.0,239.0
351,Evan Ferguson,ie IRL,FW,18.0,27,15,6.0,0.0,6.0,1.0,0.0,4.6,0.5,5.1,13.0,15.0,62.0
352,Carlos Baleba,cm CMR,MF,19.0,27,15,0.0,0.0,0.0,7.0,0.0,0.8,0.3,1.1,19.0,50.0,9.0
353,Pervis Estupiñán,ec ECU,DF,25.0,19,15,2.0,3.0,5.0,4.0,0.0,1.0,3.5,4.4,47.0,83.0,88.0
354,Adam Webster,eng ENG,DF,28.0,15,13,0.0,0.0,0.0,2.0,0.0,0.4,0.1,0.6,16.0,80.0,2.0
355,Adam Lallana,eng ENG,"MF,FW",35.0,25,13,0.0,1.0,1.0,2.0,0.0,0.8,1.7,2.5,9.0,39.0,55.0
356,James Milner,eng ENG,"DF,MF",37.0,15,11,0.0,2.0,2.0,3.0,0.0,0.3,1.8,2.0,11.0,69.0,73.0
357,Tariq Lamptey,gh GHA,"DF,FW",22.0,19,10,0.0,3.0,3.0,3.0,0.0,0.4,1.2,1.7,39.0,17.0,64.0
358,Jack Hinshelwood,eng ENG,DF,18.0,12,8,3.0,0.0,3.0,1.0,0.0,1.9,0.7,2.5,16.0,19.0,38.0
359,Solly March,eng ENG,"FW,DF",29.0,7,7,3.0,1.0,4.0,1.0,0.0,2.0,1.0,2.9,14.0,24.0,44.0
360,Jakub Moder,pl POL,"MF,DF",24.0,17,6,0.0,0.0,0.0,2.0,0.0,0.6,0.8,1.3,10.0,23.0,26.0
361,Mahmoud Dahoud,de GER,MF,27.0,9,6,0.0,1.0,1.0,1.0,1.0,0.2,0.9,1.1,4.0,11.0,6.0
362,Julio Enciso,py PAR,"MF,FW",19.0,12,5,0.0,2.0,2.0,2.0,0.0,1.4,1.7,3.2,28.0,21.0,29.0
363,Ansu Fati,es ESP,"MF,FW",20.0,19,3,2.0,0.0,2.0,2.0,0.0,3.4,0.8,4.2,16.0,28.0,50.0
364,Valentín Barco,ar ARG,"DF,FW",19.0,6,3,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.4,8.0,14.0,20.0
365,Odeluga Offiah,eng ENG,DF,20.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,9.0
366,Mark O'Mahony,ie IRL,FW,18.0,3,1,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0
367,Benicio Boaitey,eng ENG,"FW,DF",19.0,5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,1.0,2.0,2.0
368,Illia Zabarnyi,ua UKR,DF,20.0,37,37,1.0,0.0,1.0,5.0,0.0,1.1,0.4,1.5,24.0,109.0,1.0
369,Dominic Solanke,eng ENG,FW,25.0,38,37,19.0,3.0,22.0,3.0,0.0,19.6,3.0,20.3,52.0,60.0,184.0
370,Ryan Christie,sct SCO,MF,28.0,37,35,0.0,5.0,5.0,6.0,0.0,2.3,5.4,7.7,60.0,167.0,78.0
371,Neto,br BRA,GK,34.0,32,32,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,Lewis Cook,eng ENG,MF,26.0,33,32,0.0,3.0,3.0,5.0,1.0,0.4,4.3,4.6,22.0,142.0,15.0
373,Marcos Senesi,ar ARG,DF,26.0,31,26,4.0,5.0,9.0,13.0,0.0,2.0,1.7,3.7,31.0,127.0,4.0
374,Justin Kluivert,nl NED,"MF,FW",24.0,32,26,7.0,1.0,8.0,5.0,0.0,6.2,1.9,8.1,65.0,50.0,114.0
375,Adam Smith,eng ENG,DF,32.0,28,25,0.0,2.0,2.0,6.0,0.0,0.1,1.3,1.4,24.0,89.0,28.0
376,Marcus Tavernier,eng ENG,FW,24.0,30,25,3.0,4.0,7.0,3.0,0.0,3.9,5.2,9.1,79.0,84.0,171.0
377,Antoine Semenyo,gh GHA,FW,23.0,33,25,8.0,2.0,10.0,6.0,0.0,4.6,3.2,7.8,89.0,64.0,188.0
378,Milos Kerkez,hu HUN,DF,19.0,28,22,0.0,1.0,1.0,4.0,1.0,1.2,0.8,2.0,46.0,44.0,93.0
379,Lloyd Kelly,eng ENG,DF,24.0,23,17,0.0,1.0,1.0,2.0,0.0,0.3,1.2,1.6,15.0,56.0,28.0
380,Philip Billing,dk DEN,MF,27.0,29,13,2.0,2.0,4.0,3.0,1.0,2.5,3.2,5.7,22.0,53.0,63.0
381,Max Aarons,eng ENG,DF,23.0,20,13,0.0,1.0,1.0,1.0,0.0,0.0,0.8,0.9,22.0,43.0,26.0
382,Dango Ouattara,bf BFA,"FW,DF",21.0,30,12,1.0,2.0,3.0,3.0,0.0,2.6,1.5,4.1,47.0,35.0,90.0
383,Alex Scott,eng ENG,MF,19.0,23,11,1.0,1.0,2.0,3.0,0.0,0.7,1.7,2.4,24.0,50.0,35.0
384,Luis Sinisterra,co COL,"FW,MF",24.0,20,7,2.0,2.0,4.0,0.0,0.0,2.5,2.4,5.0,51.0,38.0,85.0
385,Chris Mepham,wls WAL,DF,25.0,10,6,0.0,1.0,1.0,2.0,0.0,0.1,0.4,0.5,4.0,25.0,1.0
386,Mark Travers,ie IRL,GK,24.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,Joe Rothwell,eng ENG,MF,28.0,11,3,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,6.0,20.0,3.0
388,Enes Ünal,tr TUR,"FW,MF",26.0,16,2,2.0,2.0,4.0,1.0,0.0,2.9,1.0,3.9,4.0,7.0,28.0
389,David Brooks,wls WAL,"FW,MF",26.0,13,2,1.0,1.0,2.0,1.0,0.0,2.2,1.0,3.2,8.0,21.0,27.0
390,Ionuț Radu,ro ROU,GK,26.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,Jaidon Anthony,eng ENG,FW,23.0,3,2,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,2.0,8.0,9.0
392,Tyler Adams,us USA,MF,24.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,4.0,5.0,1.0
393,James Hill,eng ENG,DF,21.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
394,Kieffer Moore,wls WAL,"FW,MF",30.0,8,0,1.0,0.0,1.0,0.0,0.0,1.5,0.2,1.7,2.0,4.0,15.0
395,Hamed Junior Traorè,ci CIV,MF,23.0,3,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,2.0,3.0,4.0
396,Romain Faivre,fr FRA,"MF,FW",25.0,5,0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,4.0,5.0,4.0
397,Dominic Sadi,eng ENG,FW,19.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,Max Kilman,eng ENG,DF,26.0,38,38,2.0,0.0,2.0,7.0,0.0,1.8,1.4,3.2,22.0,117.0,5.0
399,Nélson Semedo,pt POR,"DF,MF",29.0,36,36,0.0,1.0,1.0,10.0,1.0,1.3,1.7,3.0,103.0,138.0,150.0
400,José Sá,pt POR,GK,30.0,35,35,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
401,Mario Lemina,ga GAB,MF,29.0,35,34,4.0,1.0,5.0,12.0,1.0,4.6,1.5,6.2,32.0,76.0,49.0
402,João Gomes,br BRA,MF,22.0,34,32,2.0,1.0,3.0,11.0,0.0,1.7,1.1,2.8,28.0,101.0,44.0
403,Toti Gomes,pt POR,DF,24.0,35,31,1.0,3.0,4.0,7.0,0.0,1.6,1.2,2.8,22.0,79.0,11.0
404,Matheus Cunha,br BRA,"FW,MF",24.0,32,29,12.0,7.0,19.0,9.0,0.0,9.5,3.2,11.9,107.0,87.0,139.0
405,Rayan Aït-Nouri,dz ALG,"DF,MF",22.0,33,29,2.0,1.0,3.0,7.0,0.0,3.3,2.4,5.6,67.0,99.0,99.0
406,Craig Dawson,eng ENG,DF,33.0,25,25,1.0,1.0,2.0,7.0,0.0,1.5,1.4,2.9,1.0,49.0,4.0
407,Hwang Hee-chan,kr KOR,"FW,MF",27.0,29,25,12.0,3.0,15.0,6.0,0.0,7.7,3.0,9.9,37.0,37.0,120.0
408,Pablo Sarabia,es ESP,"MF,FW",31.0,30,20,4.0,7.0,11.0,5.0,0.0,5.5,5.9,9.8,41.0,109.0,137.0
